                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.40078,                0.32041,                0.94799,                0.88797,                0.87562,                0.92124,                0.54996,                 1.3999,                0.80645,                 1.2422,               0.000284,               0.000284,               0.000284
                    133,                0.38399,                0.31491,                0.92719,                0.88801,                0.86787,                 0.9323,                0.55997,                  1.391,                0.80566,                 1.2397,              0.0002708,              0.0002708,              0.0002708
                    134,                 0.3753,                0.30095,                0.93038,                0.86349,                0.88118,                0.93149,                0.55297,                 1.4123,                0.82409,                 1.2579,              0.0002576,              0.0002576,              0.0002576
                    135,                0.38851,                0.32917,                0.93972,                0.89927,                0.84393,                   0.93,                0.54921,                 1.4147,                0.83952,                 1.2647,              0.0002444,              0.0002444,              0.0002444
                    136,                0.40664,                0.32849,                0.93676,                0.86239,                0.87303,                0.92659,                0.56214,                 1.3666,                0.83649,                 1.2353,              0.0002312,              0.0002312,              0.0002312
                    137,                0.36189,                0.29431,                0.92504,                0.84907,                0.89552,                0.92772,                0.56113,                 1.3753,                0.83797,                 1.2285,               0.000218,               0.000218,               0.000218
                    138,                0.38343,                0.30993,                0.92441,                0.87602,                0.87562,                0.92641,                0.55467,                 1.3859,                0.82064,                 1.2318,              0.0002048,              0.0002048,              0.0002048
                    139,                0.35029,                0.29023,                0.92304,                0.88917,                0.87065,                0.92674,                0.55802,                  1.368,                0.81274,                 1.2259,              0.0001916,              0.0001916,              0.0001916
                    140,                0.39161,                 0.3121,                0.91984,                0.87978,                0.89055,                0.92948,                0.57496,                 1.3064,                0.77342,                 1.1952,              0.0001784,              0.0001784,              0.0001784
                    141,                0.40713,                 0.3276,                0.88813,                0.88154,                0.88856,                0.92713,                0.57914,                 1.2913,                0.79318,                 1.1849,              0.0001652,              0.0001652,              0.0001652
                    142,                0.38686,                0.30969,                0.92478,                0.87762,                0.89199,                0.92819,                0.57917,                 1.2971,                0.80835,                 1.1841,               0.000152,               0.000152,               0.000152
                    143,                0.39055,                0.29599,                0.92781,                0.88951,                 0.9005,                0.92816,                 0.5724,                 1.3051,                0.81752,                 1.1896,              0.0001388,              0.0001388,              0.0001388
                    144,                0.39883,                0.27328,                0.90731,                 0.8994,                0.89552,                0.93425,                0.56531,                 1.3287,                0.81785,                 1.2066,              0.0001256,              0.0001256,              0.0001256
                    145,                0.40118,                 0.2846,                0.91404,                0.90117,                0.90734,                0.94112,                 0.5671,                 1.3671,                0.81748,                 1.2346,              0.0001124,              0.0001124,              0.0001124
                    146,                0.39131,                 0.2806,                0.89324,                0.90258,                0.91045,                0.94512,                0.56476,                 1.3854,                0.81091,                 1.2443,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                0.35619,                0.26567,                0.89789,                0.90223,                0.91822,                0.94508,                0.56899,                 1.3777,                0.80835,                 1.2387,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                0.36237,                0.28341,                0.92514,                0.90651,                0.91659,                0.94572,                0.57652,                 1.3512,                 0.7942,                 1.2236,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                0.37121,                0.25853,                0.90108,                0.90977,                 0.9204,                0.94612,                0.58204,                 1.3379,                0.79274,                 1.2177,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                0.35249,                0.25999,                0.90549,                0.90991,                 0.9204,                0.94594,                0.58172,                 1.3355,                0.78669,                 1.2155,               4.64e-05,               4.64e-05,               4.64e-05
