                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.61071,                0.42025,                 1.0096,                 0.9733,                0.97512,                0.99061,                0.62138,                 1.3337,                 0.5588,                 1.2071,              0.0014456,              0.0014456,              0.0014456
                     87,                0.61542,                0.42779,                 1.0163,                0.94486,                0.93785,                0.97919,                0.62351,                 1.2705,                0.63744,                 1.1425,               0.001439,               0.001439,               0.001439
                     88,                 0.6204,                0.42976,                 1.0175,                0.90168,                0.93035,                  0.964,                  0.614,                 1.2645,                0.57924,                 1.1684,              0.0014324,              0.0014324,              0.0014324
                     89,                0.60929,                0.42802,                 1.0161,                0.95481,                0.94604,                0.98362,                0.60539,                 1.3463,                0.59383,                 1.1705,              0.0014258,              0.0014258,              0.0014258
                     90,                0.60008,                0.42285,                 1.0116,                0.95938,                0.96517,                0.98844,                0.59111,                 1.3901,                 0.5555,                 1.2091,              0.0014192,              0.0014192,              0.0014192
                     91,                0.60969,                0.41081,                 1.0132,                0.97905,                0.92985,                0.98029,                0.58905,                 1.3946,                 0.6595,                 1.2054,              0.0014126,              0.0014126,              0.0014126
                     92,                0.58429,                0.41581,                0.99933,                0.96764,                0.98507,                0.99246,                 0.6022,                 1.3404,                0.55067,                  1.187,               0.001406,               0.001406,               0.001406
                     93,                 0.5999,                0.41676,                 1.0104,                0.97828,                0.95522,                0.98113,                0.63013,                 1.2449,                0.54189,                 1.1312,              0.0013994,              0.0013994,              0.0013994
                     94,                0.61531,                0.41278,                 1.0074,                0.93192,                 0.9535,                0.96109,                0.57505,                  1.339,                0.63539,                   1.16,              0.0013928,              0.0013928,              0.0013928
                     95,                0.57153,                 0.3886,                0.98817,                0.85001,                0.89055,                0.87506,                0.54072,                  1.327,                0.75792,                 1.1953,              0.0013862,              0.0013862,              0.0013862
                     96,                0.60295,                 0.4153,                 1.0017,                0.91997,                0.93035,                0.97633,                0.61057,                 1.2739,                0.61231,                 1.1561,              0.0013796,              0.0013796,              0.0013796
                     97,                0.57384,                 0.4052,                0.99953,                0.94791,                0.93532,                0.95789,                0.55572,                  1.438,                0.64676,                 1.2079,               0.001373,               0.001373,               0.001373
                     98,                0.59584,                0.40877,                 1.0027,                0.95569,                 0.9005,                0.96326,                0.62204,                 1.2438,                0.62377,                 1.1429,              0.0013664,              0.0013664,              0.0013664
                     99,                0.57383,                 0.4069,                0.99092,                0.98767,                0.92537,                0.98377,                0.62136,                 1.3021,                0.60341,                 1.1611,              0.0013598,              0.0013598,              0.0013598
                    100,                0.59315,                0.40038,                 0.9909,                0.95145,                0.91045,                0.96094,                0.62712,                 1.2075,                  0.617,                  1.125,              0.0013532,              0.0013532,              0.0013532
                    101,                0.56412,                0.39597,                0.99588,                0.97761,                0.97512,                0.99163,                 0.6484,                  1.274,                0.53771,                 1.1526,              0.0013466,              0.0013466,              0.0013466
                    102,                0.58017,                0.39462,                0.99167,                0.94551,                0.91045,                0.97907,                0.60701,                 1.3064,                 0.6198,                 1.1955,                0.00134,                0.00134,                0.00134
                    103,                0.56325,                0.39076,                0.99737,                0.96831,                0.91209,                0.97668,                0.58192,                 1.4041,                0.65039,                 1.2652,              0.0013334,              0.0013334,              0.0013334
                    104,                0.58691,                0.39842,                 1.0037,                0.95602,                0.97341,                0.98863,                 0.6244,                  1.301,                0.56747,                 1.2011,              0.0013268,              0.0013268,              0.0013268
